date,841,47,1190,1191,1140,1213,1013,1214,806,810,1317
2011-12-01,68,43,23,25,30,22,28,50,30,33,21
2012-01-01,49,45,25,26,36,29,31,52,31,38,20
2012-02-01,47,48,27,31,37,39,30,56,31,42,20
2012-03-01,46,52,27,43,41,49,33,69,31,47,22
2012-04-01,49,54,24,51,42,58,36,73,34,49,20
2012-05-01,47,52,28,52,45,62,33,69,32,41,18
2012-06-01,46,50,28,51,50,66,31,67,36,36,20
2012-07-01,46,52,23,52,62,75,29,62,30,38,20
2012-08-01,46,51,23,50,56,70,29,63,30,34,19
2012-09-01,47,50,30,40,46,52,32,62,31,39,21
2012-10-01,46,47,24,32,35,36,31,60,30,38,20
2012-11-01,53,46,24,27,32,23,31,56,28,39,20
2012-12-01,59,41,24,23,29,20,28,48,29,33,19
2013-01-01,44,46,26,26,35,32,31,55,32,35,21
2013-02-01,45,48,23,29,37,39,32,59,31,37,20
2013-03-01,48,49,22,36,38,47,32,68,36,37,21
2013-04-01,43,51,24,46,41,55,31,74,33,37,21
2013-05-01,46,50,21,51,48,62,30,71,38,35,19
2013-06-01,45,51,25,49,50,66,34,71,42,34,19
2013-07-01,45,51,36,48,59,75,32,69,36,35,20
2013-08-01,46,53,24,46,53,71,31,68,35,34,18
2013-09-01,47,49,25,37,38,53,30,68,34,34,21
2013-10-01,48,47,26,29,31,40,31,64,35,33,19
2013-11-01,56,47,23,24,28,24,32,59,31,36,21
2013-12-01,68,42,22,22,25,20,29,53,30,32,19
2014-01-01,49,44,22,24,30,34,29,59,32,33,19
2014-02-01,46,45,22,24,32,38,26,60,28,33,20
2014-03-01,48,48,21,31,34,46,31,68,31,36,19
2014-04-01,51,51,23,44,38,56,31,76,33,37,20
2014-05-01,50,51,22,47,43,63,30,71,34,35,19
2014-06-01,47,47,22,45,49,63,29,69,31,33,18
2014-07-01,47,50,20,44,54,74,29,70,28,34,19
2014-08-01,51,48,21,39,52,68,28,66,30,33,19
2014-09-01,49,47,20,32,38,50,29,64,28,33,19
2014-10-01,51,44,24,25,32,35,31,61,28,33,18
2014-11-01,57,44,23,21,27,23,28,59,25,33,18
2014-12-01,63,39,19,20,26,19,27,53,25,29,18
2015-01-01,48,42,19,20,31,29,27,54,29,31,17
2015-02-01,46,42,22,23,32,36,27,59,26,32,17
2015-03-01,45,45,22,31,34,42,30,66,28,33,19
2015-04-01,50,50,25,42,39,53,31,75,33,33,19
2015-05-01,50,47,21,43,44,60,30,67,33,30,18
2015-06-01,48,47,21,42,49,62,30,70,30,31,16
2015-07-01,49,49,20,42,59,75,30,69,29,30,17
2015-08-01,52,47,19,37,51,70,29,65,28,30,19
2015-09-01,52,45,20,30,39,50,29,64,29,32,18
2015-10-01,49,43,23,23,30,35,27,59,28,31,17
2015-11-01,54,40,23,20,26,25,27,55,25,33,17
2015-12-01,65,36,18,20,23,19,26,52,24,31,17
2016-01-01,50,41,21,20,29,31,27,54,25,32,18
2016-02-01,50,42,22,22,29,43,28,64,24,32,18
2016-03-01,51,45,20,32,32,46,29,68,25,32,18
2016-04-01,48,48,22,39,38,57,28,76,25,36,18
2016-05-01,50,45,21,41,44,67,29,73,24,31,17
2016-06-01,53,47,20,39,49,70,28,71,26,33,18
2016-07-01,54,47,19,39,55,84,27,68,23,30,17
2016-08-01,53,48,22,38,53,79,27,68,23,31,18
2016-09-01,51,46,25,31,39,59,30,66,24,32,24
2016-10-01,53,43,21,24,28,41,28,63,22,33,20
2016-11-01,62,43,24,22,26,28,26,60,21,34,19
2016-12-01,68,40,18,19,23,21,25,55,20,32,17
2017-01-01,47,41,24,20,29,36,25,56,23,33,17
2017-02-01,48,42,20,22,30,40,28,62,22,32,17
2017-03-01,47,45,20,27,32,49,29,69,24,33,19
2017-04-01,57,49,23,40,36,59,30,73,26,35,18
2017-05-01,54,49,23,40,42,69,30,72,24,35,18
2017-06-01,51,49,22,41,48,74,28,74,26,35,18
2017-07-01,54,49,21,40,59,85,28,69,23,35,18
2017-08-01,52,48,21,37,52,81,28,69,24,34,17
2017-09-01,54,47,26,31,37,59,30,69,27,36,18
2017-10-01,55,46,25,25,28,44,29,65,25,36,19
2017-11-01,65,44,23,22,25,28,28,62,24,36,18
2017-12-01,72,41,19,20,23,24,26,55,21,34,18
2018-01-01,53,41,21,21,26,36,28,57,24,36,18
2018-02-01,53,41,20,22,27,40,28,60,21,37,19
