date,569,23,47,815,170,249,71,276,634,250,168,437,11,29,96,18,67,179,5,68,78,696,329,95,423,279,1160,813,466,468,46,750,747,121,123,697,1176,1268,288,248,30,287,612,13,31,7,38,969,477,25,380,1010,726,76,74,256,508,20,1199,144,748,48,255,50,664,60,802,621,1140,841,289,665,662,354,666,1150,277,650,651,652,158,1143,70,271,270,794,233,473,1339,932,882,94,293,205,208,1081,73,1188,185,610,206,1003,918,355,145,894,960,961,378,465,1164,784,1209,396,408,832,952,1139,107,903,343,77,278,1300,730,341,334,314,718,728,1162,53,342,1159,1214,670,12,566,672,673,49
2004-01-01,74,90,91,94,90,86,76,57,60,90,89,89,73,83,87,86,98,86,100,84,86,29,95,96,88,84,93,93,85,82,93,93,93,33,100,57,97,16,90,93,100,98,91,84,94,95,91,98,88,100,73,82,34,98,100,87,99,75,78,100,78,79,76,85,97,98,87,100,57,49,79,93,77,92,42,59,72,79,84,91,68,83,61,72,90,49,84,77,70,24,90,90,99,67,90,88,48,77,98,95,89,57,33,95,87,90,78,96,76,88,98,57,42,18,94,86,35,95,61,93,94,93,55,100,98,86,92,77,64,87,23,100,89,95,77,69,100,88,73,91,89
2004-02-01,70,86,89,93,88,87,72,58,52,97,73,96,71,85,92,82,92,88,97,78,75,32,93,97,86,82,81,90,89,86,91,98,96,32,81,47,100,15,94,94,95,100,91,83,100,95,92,96,85,93,60,68,34,91,88,83,100,74,90,88,77,81,84,82,87,100,100,87,57,48,89,86,69,91,41,52,69,76,100,86,67,71,73,64,84,57,87,73,77,19,82,78,84,65,84,87,42,85,89,92,75,53,36,84,100,91,86,100,72,99,86,53,45,18,95,91,35,95,62,98,99,100,70,93,100,100,79,76,71,95,21,96,100,95,90,77,100,96,78,80,100
2004-03-01,74,83,94,98,87,87,73,61,53,100,78,93,76,87,96,81,88,75,92,82,73,34,82,78,96,83,99,71,100,79,100,100,98,29,91,54,100,23,97,96,91,96,77,84,90,97,93,96,88,97,62,58,34,91,84,90,94,76,100,96,84,83,86,76,76,88,90,87,67,44,93,85,69,92,40,49,70,80,93,83,71,76,62,64,88,55,89,83,46,20,80,77,78,71,79,80,44,92,100,100,71,54,41,91,89,86,82,85,86,86,89,51,56,18,98,99,41,86,53,83,100,94,88,72,91,83,100,78,71,100,20,99,100,99,93,100,96,100,81,100,98
2004-04-01,72,82,93,96,89,82,69,55,53,95,73,89,80,84,89,81,86,76,90,81,71,25,83,75,88,82,100,78,97,90,96,99,97,31,87,58,94,21,92,88,87,93,58,85,86,95,94,86,83,86,66,54,31,100,84,85,86,83,87,96,90,82,76,85,84,100,94,82,72,47,93,90,64,94,37,48,69,79,92,86,73,70,65,60,79,52,87,85,50,21,81,70,81,78,78,72,46,83,93,96,66,53,39,81,85,90,82,91,82,76,78,49,47,16,98,96,44,96,50,70,91,91,82,77,78,79,77,81,59,88,22,89,92,89,98,97,94,87,77,81,89
2004-05-01,74,82,95,96,97,92,66,53,49,93,66,82,81,81,100,80,86,79,86,78,71,25,81,78,85,75,69,78,80,76,94,94,98,29,84,58,84,42,82,82,81,90,54,81,84,83,93,89,72,82,60,49,32,88,77,79,84,74,66,100,93,89,68,85,77,97,98,81,74,48,89,96,69,78,38,46,66,80,83,100,78,70,74,63,74,54,80,84,59,21,78,69,89,82,84,79,45,84,85,92,75,59,35,78,88,88,77,84,75,73,82,43,46,19,92,92,53,76,45,68,85,86,44,68,78,75,61,100,53,91,20,89,89,84,89,86,88,93,76,63,81
2004-06-01,82,72,90,89,100,83,64,54,56,89,68,69,80,82,95,79,87,87,85,75,71,31,84,81,61,78,57,80,82,95,84,77,83,24,68,52,87,21,83,81,83,87,54,85,83,84,90,93,62,80,60,50,34,90,79,78,87,82,65,93,90,85,65,87,77,93,84,64,85,47,87,100,64,88,32,49,69,78,70,94,76,72,65,60,74,54,76,73,83,21,75,69,87,93,87,88,46,79,82,84,75,52,36,78,89,65,77,80,80,81,66,46,44,47,89,91,61,92,43,75,89,87,43,62,74,79,59,86,67,86,21,96,79,83,88,83,86,80,85,69,80
2004-07-01,94,67,90,92,94,86,65,53,58,89,66,67,79,85,92,78,100,100,87,74,72,27,74,75,88,78,64,88,79,94,78,63,67,29,63,51,82,17,74,81,82,86,57,85,84,82,86,91,63,74,47,54,32,75,68,77,82,72,66,97,83,73,63,84,80,83,74,70,100,46,83,100,66,85,31,48,70,75,62,80,76,74,54,65,79,52,66,75,72,18,79,71,91,100,100,93,48,78,88,90,100,61,32,77,90,53,68,68,82,76,56,41,39,14,85,93,60,92,42,67,93,86,37,50,77,74,59,86,58,79,19,89,87,77,79,72,81,74,81,59,74
2004-08-01,82,69,93,94,89,95,69,54,55,91,67,70,79,88,91,81,97,99,91,81,75,26,82,87,73,80,82,95,82,95,78,56,77,29,67,64,87,17,77,81,91,89,55,89,79,84,92,84,59,72,60,59,33,74,78,77,81,92,72,91,90,83,65,90,89,89,93,93,97,50,100,87,66,84,31,49,67,76,58,88,79,77,53,64,86,57,67,78,48,19,85,73,93,94,94,90,53,86,91,93,91,66,34,93,92,50,77,71,86,76,56,41,40,13,87,95,45,95,42,65,90,83,37,80,77,64,88,87,52,79,18,91,85,78,99,61,82,79,100,62,72
2004-09-01,70,75,88,93,91,91,69,50,59,85,71,79,74,76,90,81,85,85,92,82,77,30,94,93,92,77,78,100,78,97,81,75,75,29,73,59,93,16,84,87,94,90,53,90,86,85,89,100,69,80,61,53,33,80,92,78,95,74,80,86,76,85,71,86,92,90,82,99,66,52,89,91,64,84,30,49,66,75,80,97,79,76,54,64,81,57,72,70,56,21,81,67,80,74,73,64,48,86,84,85,85,80,33,100,82,67,81,88,77,82,63,44,50,15,92,94,38,88,44,78,89,84,38,80,74,69,90,86,62,85,21,85,85,83,81,75,87,80,70,76,81
