"REF_DATE","GEO","DGUID","Sales","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-09","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","1545100","A","","","0"
"2018-10","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","52544938","A","","","0"
"2018-10","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","1128017","A","","","0"
"2018-10","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","1630339","A","","","0"
"2018-10","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","1692523","A","","","0"
"2018-11","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","52614964","A","","","0"
"2018-11","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","1456764","A","","","0"
"2018-11","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","2295160","A","","","0"
"2018-11","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","1780846","A","","","0"
"2018-12","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","53409374","A","","","0"
"2018-12","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","1384875","A","","","0"
"2018-12","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","2039959","A","","","0"
"2018-12","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","1447383","A","","","0"
"2019-01","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","42139449","A","","","0"
"2019-01","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","1063564","A","","","0"
"2019-01","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","1485282","A","","","0"
"2019-01","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","1647825","A","","","0"
"2019-02","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","40174255","A","","","0"
"2019-02","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","957511","A","","","0"
"2019-02","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","1329557","A","","","0"
"2019-02","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","1667065","A","","","0"
"2019-03","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","49194406","A","","","0"
"2019-03","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","1119654","A","","","0"
"2019-03","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","1579907","A","","","0"
"2019-03","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","1691603","A","","","0"
"2019-04","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","50956513","A","","","0"
"2019-04","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","1213951","A","","","0"
"2019-04","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","1657973","A","","","0"
"2019-04","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","1707242","A","","","0"
"2019-05","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","57924706","A","","","0"
"2019-05","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","1408683","A","","","0"
"2019-05","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","1846131","A","","","0"
"2019-05","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","1773443","A","","","0"
"2019-06","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","54475724","A","","","0"
"2019-06","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","1464061","A","","","0"
"2019-06","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","1936049","A","","","0"
"2019-06","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","1957233","A","","","0"
"2019-07","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","54847265","A","","","0"
"2019-07","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","1319641","A","","","0"
"2019-07","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","1780666","A","","","0"
"2019-07","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","2025664","A","","","0"
"2019-08","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","54811239","A","","","0"
"2019-08","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","1335657","A","","","0"
"2019-08","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","1817070","A","","","0"
"2019-08","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","2013677","A","","","0"
"2019-09","Canada","2016A000011124","Retail trade, unadjusted
 [44-453]","Dollars","81","thousands","3","v108795018","1.1","51321540","A","","","0"
"2019-09","Canada","2016A000011124","Electronic shopping and mail-order houses, unadjusted
 [45411]","Dollars","81","thousands","3","v108795019","1.2","1457974","A","","","0"
"2019-09","Canada","2016A000011124","Retail E-commerce sales, unadjusted
","Dollars","81","thousands","3","v108795020","1.3","1878803","A","","","0"
"2019-09","Canada","2016A000011124","Retail E-commerce sales, seasonally adjusted
","Dollars","81","thousands","3","v1257881695","1.4","2040861","A","","","0"
