date,569,23,47,815,170,249,71,276,634,250,168,437,11,29,96,18,67,179,5,68,78,696,329,95,423,279,1160,813,466,468,46,750,747,121,123,697,1176,1268,288,248,30,287,612,13,31,7,38,969,477,25,380,1010,726,76,74,256,508,20,1199,144,748,48,255,50,664,60,802,621,1140,841,289,665,662,354,666,1150,277,650,651,652,158,1143,70,271,270,794,233,473,1339,932,882,94,293,205,208,1081,73,1188,185,610,206,1003,918,355,145,894,960,961,378,465,1164,784,1209,396,408,832,952,1139,107,903,343,77,278,1300,730,341,334,314,718,728,1162,53,342,1159,1214,670,12,566,672,673,49
2004-01-01,74,89,90,94,90,87,76,57,60,91,90,89,73,83,86,86,98,86,100,84,86,29,94,95,87,84,93,94,84,79,93,94,93,33,100,57,97,16,90,94,100,98,93,83,94,94,91,99,87,100,73,82,34,98,100,87,98,75,81,100,78,79,75,85,100,98,84,100,57,49,77,93,77,92,42,58,72,79,82,93,67,83,61,73,90,49,83,77,71,24,90,90,100,67,91,89,48,77,99,95,90,57,32,95,86,90,78,95,76,89,98,57,42,18,94,85,34,94,61,95,94,92,54,100,99,88,90,77,65,88,23,100,92,95,77,68,100,87,74,89,88
2004-02-01,70,86,88,93,88,87,71,58,51,98,73,96,71,85,90,82,92,88,97,78,76,33,93,98,85,82,78,90,88,83,91,97,97,32,82,47,100,15,94,94,95,100,91,83,100,95,92,96,85,93,60,68,34,91,87,83,100,75,92,87,77,81,83,82,86,100,100,86,57,48,89,88,69,92,41,52,69,75,100,83,67,71,74,64,84,56,87,73,74,19,81,79,85,66,84,87,42,85,89,92,75,53,35,84,100,92,85,100,73,100,87,52,44,18,95,91,35,95,61,99,99,100,70,92,100,100,77,76,73,95,21,96,99,95,90,78,99,96,78,81,100
2004-03-01,74,83,95,100,87,87,73,61,53,99,78,93,76,88,94,81,88,75,92,82,74,34,82,77,95,84,92,71,100,77,100,100,99,30,91,54,95,23,96,96,92,96,77,84,90,97,93,97,88,98,62,57,33,91,85,90,94,77,100,96,84,83,86,76,77,88,88,86,67,44,94,84,68,92,40,49,71,80,92,83,71,76,63,64,88,55,89,83,47,20,80,78,79,71,79,80,44,93,100,100,70,54,40,89,89,86,82,84,87,86,90,50,55,18,99,98,41,88,53,82,100,93,87,71,90,83,100,78,72,100,21,99,100,99,93,100,95,100,82,100,97
2004-04-01,72,82,92,96,89,82,70,55,53,95,73,90,80,84,87,81,85,77,89,81,71,24,83,75,86,82,100,78,96,86,95,100,98,31,87,58,94,21,92,87,87,94,58,85,86,95,94,86,83,86,67,54,31,100,83,85,86,84,87,95,89,82,76,85,85,100,92,80,72,47,93,91,64,96,37,48,69,79,91,86,72,70,65,60,79,53,87,85,51,21,81,71,81,78,78,72,46,84,93,96,66,53,37,81,85,90,82,89,83,75,80,49,47,16,98,97,43,95,50,70,90,90,82,76,80,76,74,81,60,87,22,90,95,89,98,97,94,87,78,81,89
2004-05-01,74,82,94,96,97,92,66,53,49,94,67,81,81,81,100,80,86,79,86,78,71,24,81,78,85,75,71,76,80,72,94,95,99,29,87,59,84,42,81,82,81,90,54,80,84,82,93,90,71,82,60,49,32,88,77,79,83,74,67,98,93,89,68,84,77,97,95,79,74,48,89,97,69,78,37,46,66,80,82,99,77,70,74,62,74,55,80,84,60,21,77,70,90,82,84,80,45,84,85,92,75,58,33,78,87,89,78,84,75,73,81,43,46,19,92,92,52,77,45,67,85,86,44,69,79,73,60,100,53,92,20,89,90,83,89,87,87,94,76,63,80
2004-06-01,82,71,89,89,100,83,64,54,57,89,69,69,80,82,95,79,87,86,86,75,71,31,83,81,61,78,56,79,81,94,84,77,82,24,68,52,87,21,83,81,83,87,54,85,83,84,90,92,62,80,60,50,34,90,79,78,87,83,67,94,91,85,66,87,78,93,88,63,85,47,87,100,64,88,32,49,69,78,68,92,76,72,65,60,74,54,76,73,84,21,75,70,88,93,87,87,46,79,82,84,75,52,35,78,89,65,77,79,80,79,65,45,44,47,89,91,60,91,43,76,89,86,43,63,74,80,57,86,69,84,20,97,80,83,88,83,86,82,87,69,80
2004-07-01,94,66,89,92,94,86,65,53,58,89,67,66,79,85,90,78,100,100,86,74,73,26,73,74,85,79,60,90,78,92,78,63,67,29,63,51,82,17,73,80,82,86,57,84,83,81,86,91,63,74,47,54,32,75,68,77,81,72,66,97,83,73,63,84,83,83,77,69,100,46,84,99,66,85,31,48,70,75,60,79,75,74,54,66,79,52,65,75,71,18,78,71,92,100,100,93,48,78,86,90,100,62,31,77,90,54,68,67,83,77,56,41,39,14,85,94,60,90,42,66,93,86,37,50,77,72,58,86,57,79,20,90,89,77,79,72,81,74,83,59,74
2004-08-01,82,69,93,94,89,96,69,53,55,92,67,70,79,88,91,81,96,99,91,81,76,26,82,87,74,80,85,95,81,93,79,55,77,29,69,64,88,17,77,81,91,89,55,88,79,83,92,84,59,71,61,59,33,74,78,78,81,92,74,91,89,83,65,90,89,89,89,92,97,50,100,86,67,85,31,49,67,76,59,88,79,77,53,65,86,57,67,78,47,19,85,73,93,94,95,94,53,86,90,93,90,66,33,93,93,51,76,70,87,75,56,41,40,13,87,96,44,93,41,65,89,83,37,79,78,64,86,87,52,77,18,90,88,77,99,59,82,80,100,63,72
2004-09-01,70,75,87,93,91,91,69,50,58,85,72,79,74,76,90,81,85,85,92,82,77,29,94,93,94,78,74,100,77,95,82,75,76,29,74,59,94,16,84,87,94,89,53,90,86,84,89,100,69,80,61,53,33,80,92,77,94,75,81,86,76,85,71,86,92,91,78,97,67,51,88,91,64,84,30,49,66,74,80,97,79,76,54,64,81,57,72,70,56,21,80,67,81,74,73,65,48,86,84,85,85,80,31,100,82,68,81,88,77,80,63,43,51,15,92,93,37,86,44,79,89,84,38,79,75,70,89,85,63,85,21,85,87,83,81,75,86,80,72,76,83
