date,Economic crisis,Crisis,Recession,Financial crisis,Krach,Unemployment,Unemployment benefits,Student loan,Loan,Interest,Mortgage,Auto Financing,Birthday,Temporary jobs,Affordable housing,Lawyer,public debt,office space,Housing bubble,Bankruptcy,Exportation,Commercial Building,Foreclosure
2004-01-01,0,27,0,0,0,27,25,43,55,44,43,0,18,0,0,30,37,92,0,39,58,100,42
2004-02-01,0,0,0,0,36,23,5,53,46,46,51,31,37,39,0,31,0,97,13,52,100,71,31
2004-03-01,0,0,0,0,44,20,32,34,42,45,56,0,0,71,0,45,51,78,16,38,58,38,43
2004-04-01,0,27,50,100,0,22,10,43,55,56,52,60,54,38,0,32,41,67,0,47,87,40,23
2004-05-01,0,0,45,0,0,17,14,41,50,49,47,27,32,0,0,35,0,53,17,40,66,9,31
2004-06-01,0,24,0,92,0,26,28,59,49,53,50,55,50,52,0,41,37,76,52,41,74,46,36
2004-07-01,0,13,0,0,0,26,20,85,62,41,48,87,0,0,55,35,0,80,30,39,39,58,45
2004-08-01,0,0,0,0,0,17,18,88,62,41,44,0,48,17,100,37,35,67,28,44,40,35,32
2004-09-01,0,11,0,0,28,23,16,51,48,43,40,24,87,30,46,41,32,100,25,39,55,48,41
2004-10-01,0,0,0,0,55,18,12,58,53,39,39,24,100,15,45,32,32,84,35,35,36,16,40
2004-11-01,0,0,39,0,0,22,24,66,50,41,34,23,14,88,0,37,63,82,15,39,85,46,29
2004-12-01,16,10,0,0,0,19,11,39,43,31,25,45,40,42,42,33,0,58,14,35,86,52,36
2005-01-01,13,25,0,0,22,22,16,32,43,44,39,56,0,23,35,39,50,70,19,40,60,62,24
2005-02-01,0,9,67,0,23,22,10,53,48,38,40,0,48,38,38,35,0,69,4,39,69,67,35
2005-03-01,0,30,57,56,20,22,11,36,46,33,43,51,41,21,64,40,23,64,25,39,42,62,19
2005-04-01,14,17,0,0,0,18,17,55,54,48,45,39,47,62,37,38,0,82,24,42,67,58,19
2005-05-01,0,0,0,0,20,20,24,45,54,32,46,18,21,100,67,42,71,73,18,33,84,41,26
2005-06-01,0,8,0,0,21,22,6,51,55,49,44,36,22,68,0,46,0,62,56,38,45,48,25
2005-07-01,0,8,0,0,0,17,16,75,51,37,40,19,23,0,36,40,0,83,87,37,36,38,29
2005-08-01,0,8,0,0,0,18,6,72,60,37,44,0,32,22,0,42,0,57,52,43,20,35,28
