date,Economic crisis,Crisis,Recession,Financial crisis,Krach,Unemployment,Unemployment benefits,Student loan,Loan,Interest,Mortgage,Auto Financing,Birthday,Temporary jobs,Affordable housing,Lawyer,public debt,office space,Housing bubble,Bankruptcy,Exportation,Commercial Building,Foreclosure
2005-09-01,0,7,26,0,0,19,11,64,45,44,40,16,38,10,0,39,21,77,56,40,42,31,23
2005-10-01,0,25,0,0,33,17,5,43,43,36,39,29,43,27,27,33,19,63,33,33,52,38,26
2005-11-01,0,31,24,94,16,25,10,49,40,36,34,28,68,9,0,37,57,92,65,33,35,56,13
2005-12-01,0,6,0,0,0,21,7,47,43,34,31,43,17,9,54,31,39,67,42,33,41,33,24
2006-01-01,9,5,20,0,0,23,23,49,50,40,38,24,37,23,23,39,30,80,46,40,47,24,37
2006-02-01,0,11,0,43,0,22,9,50,50,40,39,26,31,24,24,39,0,78,41,35,50,56,39
2006-03-01,0,5,38,0,0,22,13,46,57,42,40,91,55,14,0,36,15,59,45,40,54,38,27
2006-04-01,9,16,61,40,14,23,12,56,61,51,48,12,15,23,23,35,33,67,53,29,58,52,33
2006-05-01,0,10,39,0,14,20,2,55,53,34,46,58,28,51,0,38,29,61,63,30,65,23,29
2006-06-01,9,11,20,40,0,23,14,53,51,43,43,36,51,23,46,43,65,58,83,29,25,48,38
2006-07-01,9,22,0,41,0,20,17,76,66,42,41,99,15,16,0,38,17,80,59,30,26,41,37
2006-08-01,8,10,0,0,0,19,15,99,64,39,40,34,34,21,43,41,46,64,74,33,22,30,39
2006-09-01,0,0,0,0,12,22,25,79,55,38,36,43,45,54,60,35,43,76,100,28,45,49,33
2006-10-01,7,13,16,32,11,23,28,44,46,42,40,48,58,18,0,36,26,63,62,33,42,57,37
2006-11-01,0,12,91,0,0,17,11,38,45,40,32,27,66,29,52,35,79,85,48,27,40,61,37
2006-12-01,0,9,0,0,11,19,3,45,43,35,29,39,35,12,0,26,26,62,47,27,23,29,26
2007-01-01,0,11,0,27,0,27,14,58,52,43,42,33,60,16,16,38,11,66,36,31,35,44,32
2007-02-01,0,0,15,0,10,24,20,41,55,45,44,18,43,28,67,35,48,55,39,32,34,41,29
2007-03-01,6,7,0,0,9,21,24,42,57,44,48,63,42,10,15,35,52,67,37,32,39,47,44
2007-04-01,0,7,14,27,9,21,14,44,55,45,45,32,44,20,0,35,10,73,41,32,45,32,35
2007-05-01,0,14,39,0,0,15,9,51,57,45,48,31,51,53,58,36,21,66,32,32,37,33,36
2007-06-01,0,0,0,0,28,15,7,65,61,52,49,49,24,31,31,36,22,63,27,33,31,35,35
2007-07-01,0,14,0,26,0,23,13,82,59,45,49,40,24,35,15,39,0,67,42,30,18,45,36
2007-08-01,5,17,0,25,9,19,17,100,66,42,46,61,50,38,0,41,20,61,76,29,9,50,42
2007-09-01,0,10,12,0,9,17,12,81,57,47,39,37,22,33,28,39,40,46,63,26,40,54,46
2007-10-01,5,23,0,44,0,18,9,51,57,45,39,60,44,21,38,38,25,61,48,28,49,48,43
2007-11-01,0,28,11,85,15,18,12,47,45,39,32,90,35,16,73,36,34,64,35,31,40,55,47
2007-12-01,0,19,0,71,0,19,23,42,46,36,29,21,21,22,27,33,48,45,36,23,16,35,38
2008-01-01,5,14,21,21,7,22,21,67,54,55,45,19,69,12,24,37,9,73,29,30,33,45,57
2008-02-01,0,6,0,0,0,19,12,47,58,51,43,66,28,29,50,37,35,56,26,31,48,65,70
2008-03-01,5,11,21,21,7,17,12,33,52,58,49,57,38,28,24,37,59,46,29,31,31,65,72
2008-04-01,0,17,32,42,7,16,22,43,56,59,50,38,23,40,48,38,17,51,37,35,48,57,54
2008-05-01,0,14,22,0,45,14,14,46,51,51,44,26,43,29,37,41,40,50,34,31,43,47,54
2008-06-01,0,12,23,23,0,19,15,70,57,48,43,28,66,26,0,37,0,51,23,36,30,41,61
2008-07-01,0,6,11,23,0,23,13,77,57,53,45,0,45,26,0,43,25,51,31,41,17,41,67
2008-08-01,0,0,11,0,0,19,19,79,61,42,37,41,37,35,39,35,83,49,22,33,25,62,52
2008-09-01,27,42,21,0,22,19,18,75,54,45,41,13,27,12,12,40,42,52,24,49,28,29,54
2008-10-01,100,100,48,77,40,20,25,44,48,59,40,35,66,22,77,40,36,54,28,41,22,44,72
2008-11-01,52,56,100,79,42,27,21,42,49,42,32,48,29,30,23,40,40,50,28,48,38,52,55
2008-12-01,75,59,92,20,14,28,24,50,46,43,31,61,11,31,23,36,41,48,13,48,32,26,47
2009-01-01,43,34,82,18,38,36,30,44,50,50,43,38,43,31,0,35,59,57,18,56,31,47,77
2009-02-01,38,36,58,19,20,36,32,54,55,54,44,41,49,26,11,39,23,57,21,56,32,37,88
2009-03-01,33,48,43,0,18,34,28,52,60,57,58,52,68,23,19,39,35,47,18,59,30,43,100
2009-04-01,54,45,45,53,12,36,16,31,60,53,55,27,39,30,41,44,7,48,12,67,43,29,83
2009-05-01,24,31,27,54,13,35,23,43,56,41,53,38,59,24,10,44,51,47,6,69,40,40,68
2009-06-01,20,29,54,18,6,39,37,68,64,48,52,54,46,21,31,48,29,46,9,73,26,36,64
2009-07-01,24,27,27,18,0,43,38,95,78,48,46,49,53,31,10,51,15,52,14,66,15,33,67
2009-08-01,7,5,35,0,0,50,38,77,72,42,42,42,41,16,0,42,39,49,12,60,8,45,64
2009-09-01,7,13,16,0,6,53,53,62,63,39,41,10,59,19,65,45,26,60,9,63,28,54,62
2009-10-01,6,14,22,0,16,57,63,42,58,42,37,58,38,39,34,44,24,48,15,52,27,45,66
2009-11-01,26,24,46,45,5,57,49,39,50,41,34,37,49,12,35,44,43,54,16,62,20,58,72
2009-12-01,7,19,64,48,17,55,49,41,51,38,31,29,23,27,36,39,6,41,23,50,20,37,63
2010-01-01,12,15,22,14,10,60,57,52,62,46,40,43,52,41,33,47,40,57,21,64,25,54,79
2010-02-01,7,14,76,0,11,54,59,45,61,45,42,50,33,34,26,46,67,56,40,62,36,54,71
2010-03-01,15,15,21,0,49,63,69,47,65,52,49,44,65,36,38,47,74,63,33,63,27,63,83
2010-04-01,16,21,44,29,21,56,67,48,64,53,50,43,42,39,16,46,100,57,50,62,33,46,71
2010-05-01,13,14,38,15,16,54,45,50,60,39,39,40,61,43,17,52,81,51,30,52,25,55,70
2010-06-01,7,15,16,16,6,69,64,57,66,41,37,41,43,32,35,54,30,49,20,64,17,48,74
2010-07-01,22,18,7,0,0,100,100,75,72,38,37,52,51,36,25,48,56,57,25,53,11,27,61
2010-08-01,3,6,22,14,10,61,50,78,70,42,41,42,65,46,16,47,22,48,36,51,17,52,76
2010-09-01,3,11,0,0,0,47,37,62,63,45,39,49,45,26,38,44,21,47,40,51,14,45,64
2010-10-01,11,14,7,0,5,47,36,42,60,42,36,38,43,30,22,46,55,54,18,49,24,43,86
2010-11-01,3,9,13,13,5,47,37,37,56,38,33,45,58,36,21,42,54,55,15,54,24,62,59
2010-12-01,12,20,20,40,14,62,56,51,52,36,27,71,15,28,37,40,46,41,18,45,15,35,57
2011-01-01,0,12,10,10,21,20,13,43,44,41,36,38,56,30,28,43,76,54,19,38,22,34,53
2011-02-01,12,13,32,0,34,15,8,30,42,43,36,35,47,16,30,50,49,51,26,41,22,30,48
2011-03-01,4,13,24,0,14,14,6,37,44,42,34,62,35,31,21,51,62,50,39,43,31,40,43
2011-04-01,7,9,20,0,32,13,7,36,45,38,34,33,50,19,6,51,43,49,31,38,27,59,45
2011-05-01,2,5,15,0,7,14,8,39,43,33,34,41,62,26,11,52,53,45,24,36,17,41,41
2011-06-01,9,14,26,0,15,15,7,56,47,35,32,24,49,37,35,53,64,46,34,38,16,38,42
2011-07-01,14,16,5,11,4,18,11,61,47,33,34,54,52,29,30,59,96,48,38,43,13,40,44
2011-08-01,11,20,10,10,25,15,9,62,48,37,36,50,54,25,22,56,75,43,26,35,14,37,47
2011-09-01,9,16,15,0,0,17,8,57,46,36,34,44,38,30,28,54,72,47,23,40,16,50,41
2011-10-01,8,21,28,9,16,15,5,35,40,37,33,19,45,24,20,51,77,46,22,37,26,44,40
2011-11-01,23,32,36,9,6,18,11,33,40,37,29,32,43,20,35,50,65,45,32,39,32,50,32
2011-12-01,12,23,28,9,7,17,7,35,37,30,25,27,23,19,36,44,17,42,25,32,13,38,36
2012-01-01,7,14,37,0,9,18,8,45,43,44,39,61,50,27,28,48,38,46,33,45,19,45,47
2012-02-01,12,22,13,0,13,15,4,35,42,41,38,62,58,17,10,53,40,54,42,40,22,43,47
2012-03-01,11,16,53,8,15,15,7,34,44,43,41,26,54,26,41,53,49,48,47,44,22,47,37
2012-04-01,7,21,34,26,9,16,5,40,49,39,39,35,61,31,29,55,23,59,62,37,24,43,33
2012-05-01,13,20,13,25,15,14,7,47,44,38,38,64,53,38,32,58,45,49,62,38,24,48,29
2012-06-01,2,14,18,9,16,12,5,47,48,36,40,67,65,30,15,58,60,51,47,36,16,54,34
2012-07-01,4,12,9,0,6,16,8,56,51,37,38,55,45,37,44,58,30,49,58,36,14,50,30
2012-08-01,9,17,4,17,3,14,4,65,50,31,35,53,44,31,29,57,46,44,31,33,11,48,35
2012-09-01,4,8,21,8,12,14,6,59,50,34,33,41,49,31,32,50,44,53,37,33,16,34,32
2012-10-01,10,20,26,15,16,14,6,38,44,38,32,57,45,24,33,56,65,51,37,34,16,58,25
2012-11-01,12,18,12,15,27,15,5,33,43,35,29,27,45,30,43,53,64,47,30,31,23,48,28
2012-12-01,5,8,27,0,19,13,9,27,36,29,24,25,34,19,17,44,38,32,34,28,21,39,25
2013-01-01,5,6,18,0,10,15,10,79,53,37,35,35,43,23,16,55,45,47,36,37,20,54,36
2013-02-01,3,6,23,8,8,13,7,47,48,39,35,38,37,26,34,52,52,49,26,33,18,49,33
2013-03-01,11,17,45,21,17,12,7,35,49,44,40,76,56,29,19,53,51,45,32,33,19,58,29
2013-04-01,5,9,31,7,20,13,10,42,52,43,39,49,52,51,12,61,72,52,21,27,22,58,30
2013-05-01,12,14,25,21,23,12,8,39,50,43,37,56,50,43,16,61,38,47,26,23,20,47,28
2013-06-01,2,7,18,7,13,12,6,44,50,41,36,45,61,37,24,62,36,50,25,25,13,47,29
2013-07-01,3,11,4,7,3,12,7,48,52,40,36,51,69,38,16,62,30,50,17,42,12,43,35
2013-08-01,9,11,11,0,13,10,8,55,54,38,36,56,47,27,8,58,33,46,20,22,12,44,33
2013-09-01,1,5,17,14,2,11,9,53,48,40,34,48,48,32,23,59,37,48,24,22,14,51,27
2013-10-01,1,5,19,6,7,12,8,35,46,38,30,59,59,21,18,61,41,48,15,23,14,45,27
2013-11-01,6,11,20,20,23,13,10,36,44,35,29,42,49,37,25,58,30,46,18,22,20,50,25
2013-12-01,0,10,21,14,27,11,5,35,40,31,24,26,45,34,15,52,24,38,24,19,17,50,24
2014-01-01,6,9,32,6,14,14,13,43,51,39,36,65,74,26,32,60,29,52,28,24,18,54,35
2014-02-01,3,16,36,28,10,13,9,38,51,44,36,54,60,38,28,62,62,51,25,24,20,53,36
2014-03-01,4,7,16,0,11,11,7,44,57,47,44,50,60,37,28,64,58,56,28,26,21,56,37
2014-04-01,4,16,20,7,12,12,6,40,54,45,42,46,54,42,29,64,55,60,20,25,28,57,36
2014-05-01,12,12,28,0,10,11,7,46,57,45,43,53,54,58,38,68,50,46,27,26,22,67,31
2014-06-01,5,7,20,8,8,12,8,54,55,42,39,37,66,62,17,72,39,44,26,25,9,47,28
2014-07-01,0,4,4,8,5,11,5,55,60,40,37,71,53,37,46,71,15,46,23,25,14,53,30
2014-08-01,3,5,4,16,8,10,6,75,60,40,35,52,50,31,34,66,27,50,21,27,12,36,31
2014-09-01,3,6,26,0,8,10,7,58,57,39,35,54,49,39,45,70,34,64,29,30,22,54,24
2014-10-01,6,12,27,0,22,10,14,40,53,39,32,38,44,41,11,69,42,55,32,28,20,50,28
2014-11-01,12,18,28,14,20,11,9,36,47,40,31,37,42,35,23,68,48,58,21,28,18,44,24
2014-12-01,5,12,4,28,20,11,6,36,45,35,25,27,30,20,27,61,49,50,26,25,16,40,23
2015-01-01,1,10,20,7,19,13,8,54,56,55,44,34,51,38,22,63,27,53,37,30,16,50,31
2015-02-01,6,9,18,15,15,14,6,45,56,54,40,40,57,48,28,65,47,54,22,29,20,50,31
2015-03-01,1,6,23,20,9,13,10,50,59,53,45,29,44,30,48,70,46,55,22,30,22,66,29
2015-04-01,7,8,20,0,21,12,9,45,59,52,44,31,60,50,15,70,43,54,31,28,25,55,23
2015-05-01,4,6,10,0,15,12,5,44,59,43,40,24,35,45,34,72,23,52,32,25,20,50,25
2015-06-01,9,10,24,7,10,11,6,53,62,47,39,40,51,31,23,78,50,50,24,30,15,47,28
2015-07-01,9,8,13,13,7,11,6,55,65,50,43,67,45,39,37,78,53,50,25,40,8,58,28
2015-08-01,1,6,17,14,14,12,5,69,68,42,39,51,49,41,22,72,34,47,29,29,9,48,30
2015-09-01,0,6,42,7,14,12,8,66,61,48,36,50,57,38,43,76,35,50,23,28,26,51,26
2015-10-01,5,7,28,19,11,11,5,49,57,48,33,31,56,41,34,73,54,53,30,26,17,46,21
2015-11-01,4,5,22,19,21,13,7,44,55,45,32,41,59,30,14,73,34,51,24,26,18,57,23
2015-12-01,1,7,20,27,14,13,8,34,51,51,30,16,56,21,15,64,30,45,22,24,22,66,21
2016-01-01,6,16,16,13,7,14,5,52,60,57,38,38,60,25,14,77,37,52,34,63,19,58,32
2016-02-01,4,11,20,7,14,14,7,53,64,53,39,62,42,33,23,85,39,58,35,62,20,69,33
2016-03-01,4,8,16,13,4,13,4,59,64,51,41,33,57,26,24,81,60,55,37,68,20,66,30
2016-04-01,8,16,39,26,23,12,8,50,65,53,41,49,59,32,32,79,40,49,31,66,24,70,31
2016-05-01,1,3,10,0,16,10,8,47,65,51,39,36,55,41,48,82,35,49,39,65,20,64,27
2016-06-01,3,6,7,0,12,11,5,53,67,48,37,39,62,30,34,85,29,52,62,55,14,49,23
2016-07-01,3,4,18,7,12,11,4,62,67,42,36,45,41,26,24,78,19,49,63,71,8,56,23
2016-08-01,0,2,18,0,12,11,4,75,74,42,35,56,46,25,28,86,17,46,73,78,8,52,31
2016-09-01,2,1,10,0,12,11,5,72,65,45,34,43,53,29,15,84,21,52,55,73,22,59,23
2016-10-01,3,8,33,7,14,10,4,51,63,51,46,36,60,30,37,80,31,48,42,76,19,61,25
2016-11-01,4,6,19,0,22,12,6,61,64,49,33,42,52,40,36,78,40,47,28,77,20,58,20
2016-12-01,6,11,26,26,20,13,9,50,60,45,26,51,48,27,18,70,33,42,24,73,20,55,23
2017-01-01,8,8,30,6,13,13,7,65,68,51,35,36,63,36,40,74,32,49,28,72,16,67,28
2017-02-01,6,9,26,6,11,12,6,53,68,52,39,44,41,16,25,82,37,49,49,74,22,56,29
2017-03-01,4,10,43,6,12,12,5,60,70,58,48,44,63,29,32,84,55,60,59,64,15,63,22
2017-04-01,4,8,49,12,15,9,4,54,70,53,43,51,64,16,34,76,44,57,92,94,19,64,25
2017-05-01,3,6,16,0,17,11,6,54,73,48,42,55,45,28,14,83,26,73,83,99,22,59,25
2017-06-01,4,8,16,0,5,9,4,57,71,54,39,45,48,40,36,89,28,54,68,100,17,60,21
2017-07-01,1,4,7,0,0,12,5,60,72,65,45,52,58,25,41,86,15,51,41,93,10,34,23
2017-08-01,1,2,10,0,4,11,6,73,74,49,39,60,41,29,11,84,15,53,31,70,7,64,19
2017-09-01,6,10,22,6,7,11,6,78,74,61,41,39,53,22,35,78,31,54,36,85,17,48,19
2017-10-01,1,5,21,6,18,10,5,42,65,55,38,49,41,23,39,82,48,55,23,62,15,57,22
2017-11-01,5,13,21,6,18,10,4,46,65,52,34,45,50,28,71,77,47,53,20,64,17,64,19
2017-12-01,4,6,12,0,15,12,5,48,60,47,29,54,36,34,24,67,27,46,13,53,11,50,19
2018-01-01,1,9,39,11,25,13,5,65,70,67,50,48,60,25,22,73,41,51,18,71,13,63,22
2018-02-01,0,4,16,6,36,12,7,57,74,61,40,46,45,29,21,75,19,51,16,78,12,46,20
2018-03-01,3,7,32,11,14,11,5,57,72,59,46,42,62,24,29,82,52,57,20,81,18,62,18
2018-04-01,4,11,37,17,18,10,6,56,71,63,48,66,53,39,28,85,39,50,15,74,19,54,23
2018-05-01,0,1,12,0,6,9,4,54,74,59,50,52,29,37,29,84,38,48,18,81,16,57,19
2018-06-01,3,7,18,0,12,10,7,55,75,54,40,67,62,36,43,85,39,47,15,41,14,49,21
2018-07-01,3,2,9,0,8,10,6,58,74,57,44,49,51,23,33,84,32,45,16,25,10,54,21
2018-08-01,3,5,6,6,2,11,5,74,79,53,40,100,55,29,39,85,18,48,14,24,11,56,21
2018-09-01,5,7,24,6,6,10,6,76,73,57,36,60,56,24,20,83,42,48,21,22,14,61,20
2018-10-01,3,5,26,6,16,10,4,50,71,65,41,65,51,21,22,81,35,57,18,25,19,61,20
2018-11-01,4,7,20,12,28,12,4,42,68,55,33,88,48,35,45,78,33,50,13,24,18,67,16
2018-12-01,1,3,31,6,15,13,4,41,62,50,27,54,32,28,37,69,30,44,13,22,13,49,17
2019-01-01,6,7,31,11,35,12,5,61,73,64,42,51,67,37,31,81,26,76,10,29,13,60,21
2019-02-01,5,8,18,6,15,9,5,51,76,60,41,66,46,32,54,87,32,100,12,27,14,58,23
2019-03-01,2,8,17,6,10,11,6,60,78,65,51,61,54,33,50,85,56,86,11,29,22,65,23
2019-04-01,3,9,17,12,18,11,8,54,86,68,50,77,55,32,38,95,31,88,9,34,19,71,28
2019-05-01,2,3,28,0,19,10,5,46,78,61,47,69,48,42,37,91,21,75,11,25,17,63,22
2019-06-01,5,9,6,17,16,11,7,54,77,59,46,55,52,36,38,85,44,71,11,23,11,61,21
2019-07-01,1,2,6,0,8,11,7,52,80,62,50,50,41,44,39,91,24,83,17,24,8,50,21
2019-08-01,5,8,23,11,2,9,4,69,85,61,51,63,49,34,44,91,15,60,22,27,8,61,22
2019-09-01,10,9,25,5,11,11,6,71,84,63,50,79,67,29,33,88,29,92,13,36,12,64,26
2019-10-01,2,10,31,15,18,12,6,52,77,62,43,56,43,36,46,89,45,65,14,31,16,68,23
2019-11-01,1,7,39,10,20,11,8,41,74,57,40,63,50,44,37,83,18,61,12,28,14,56,25
2019-12-01,5,8,16,5,8,11,6,42,74,53,31,71,36,42,42,78,27,68,10,30,10,60,26
2020-01-01,1,5,15,5,19,12,9,61,79,69,49,52,58,48,53,87,31,67,13,31,14,66,28
2020-02-01,5,6,24,0,9,11,6,56,87,70,56,53,51,25,56,93,30,60,12,33,16,68,30
2020-03-01,10,15,86,14,100,66,55,84,100,100,100,66,27,59,43,75,42,49,12,31,10,58,25
2020-04-01,7,10,63,9,26,46,32,52,89,82,56,46,26,33,19,67,52,42,10,34,15,54,28
2020-05-01,6,7,31,4,26,22,12,49,88,66,55,48,16,29,15,75,37,55,9,49,11,47,33
2020-06-01,4,5,16,0,18,21,11,50,91,66,68,64,14,32,28,87,35,59,8,39,9,62,32
2020-07-01,5,7,12,0,5,18,12,60,92,60,67,48,18,18,25,98,58,58,12,39,7,62,30
2020-08-01,1,1,5,0,10,17,12,76,97,59,68,67,17,10,44,97,26,62,10,34,11,61,31
2020-09-01,5,10,17,10,12,14,9,79,90,59,61,64,22,17,33,96,43,60,8,30,11,70,28
2020-10-01,5,6,23,0,20,16,11,60,84,63,57,70,16,23,37,91,38,55,26,30,14,63,28
2020-11-01,5,8,29,5,16,12,10,65,80,59,50,55,15,18,32,89,54,56,11,24,16,58,28
2020-12-01,3,6,26,5,18,14,12,58,80,59,50,40,11,19,17,79,34,56,10,22,9,49,27
2021-01-01,2,6,25,10,34,15,10,67,80,65,59,50,10,20,36,80,27,46,15,34,10,61,33
2021-02-01,2,3,17,0,35,14,8,57,81,72,63,50,16,18,31,100,39,48,20,24,13,61,27
2021-03-01,7,6,13,0,17,12,6,58,82,71,74,70,20,16,22,85,40,51,55,21,12,70,23
2021-04-01,0,5,13,5,13,10,6,57,75,70,61,54,18,11,49,83,40,44,42,17,10,57,21
2021-05-01,1,5,13,5,21,10,9,44,71,57,55,39,13,15,37,75,29,38,29,17,14,55,20
2021-06-01,2,3,5,0,6,9,6,43,71,59,49,44,15,33,27,77,8,43,24,16,12,55,19
2021-07-01,4,7,8,5,11,10,6,49,69,50,46,54,28,23,30,76,10,47,19,14,9,45,21
2021-08-01,2,2,8,0,4,11,8,59,77,47,40,57,21,12,27,81,31,53,13,15,7,40,23
2021-09-01,3,4,14,6,16,11,11,69,78,51,38,54,37,17,45,82,35,51,15,17,12,50,15
2021-10-01,1,4,28,6,21,10,9,44,71,53,42,52,26,22,43,80,19,44,19,18,16,55,21
2021-11-01,1,5,19,5,19,9,6,40,71,58,39,47,39,22,42,82,38,45,21,17,16,61,22
2021-12-01,5,11,5,11,19,10,7,47,68,48,30,26,30,14,21,69,35,35,19,16,16,45,17
2022-01-01,2,2,16,5,29,11,10,47,73,71,51,53,17,20,12,78,22,49,26,16,12,61,22
2022-02-01,5,8,9,12,14,7,4,44,77,68,48,44,23,19,76,83,20,47,23,16,14,60,22
2022-03-01,5,6,37,10,20,9,5,54,79,82,59,62,33,21,17,82,38,49,20,17,17,64,20
2022-04-01,2,4,55,5,18,7,3,47,80,91,62,62,55,28,35,82,40,47,20,17,9,61,18
