date,Uber,DoorDash,SkipTheDishes,Walmart,Costco,Real Canadian Superstore,alibaba,newegg canada,ebay,kijiji,Canadian Tire,Home Depot,Best Buy,Shopify,Apple,Gap,Old Navy,Joe Fresh,Sephora,eventbrite,Sportchek,square online,PayPal,Western Union,TD Canada Trust,Scotiabank,Royal Bank of Canada,Google Pay,Apple Pay,Mastercard
2007-10-01,0,0,0,2,16,0,0,0,69,0,13,0,0,1,0,0,0,0,0,0,0,0,76,49,44,12,0,5,0,26
2007-11-01,0,0,0,0,8,0,0,0,72,0,13,0,19,0,4,0,0,0,0,0,0,0,85,38,28,5,17,5,0,51
2007-12-01,0,0,0,10,0,0,15,0,68,13,0,0,21,0,0,0,0,0,0,0,0,0,82,58,37,23,0,5,0,24
2008-01-01,0,0,0,7,0,0,0,0,77,0,0,34,19,0,4,0,0,0,0,22,0,0,80,47,14,7,17,5,0,42
2008-02-01,10,0,0,5,8,0,20,0,100,0,0,0,39,0,0,0,0,0,0,0,0,0,76,45,44,5,52,5,0,22
2008-03-01,0,0,0,5,38,0,7,0,45,0,13,0,19,0,0,0,0,0,0,0,0,0,80,38,47,13,50,5,0,29
2008-04-01,0,0,0,0,15,0,7,0,46,24,0,0,19,0,0,0,0,0,0,0,0,0,74,35,43,5,17,5,0,17
2008-05-01,0,0,0,5,8,0,0,0,70,24,0,0,38,0,0,0,0,0,0,0,0,0,76,50,29,7,69,10,0,21
2008-06-01,0,0,0,5,8,0,0,0,69,26,14,0,0,1,0,0,0,0,0,0,0,0,79,46,56,15,18,5,0,5
2008-07-01,0,0,0,2,0,0,0,0,74,0,28,36,20,0,0,0,0,0,0,0,0,0,85,49,46,24,18,0,0,32
2008-08-01,0,0,0,0,8,0,0,0,80,0,14,0,20,0,4,22,0,0,0,0,0,0,73,52,10,15,18,0,0,46
2008-09-01,0,0,0,0,8,0,13,0,40,12,13,0,37,1,8,21,0,0,0,0,0,0,74,58,47,7,17,0,0,33
2008-10-01,0,0,0,6,0,0,12,0,60,11,0,31,0,0,0,0,0,0,0,0,0,0,77,43,39,14,0,4,0,42
2008-11-01,0,0,0,9,0,0,0,0,81,23,24,0,18,0,0,0,0,0,0,0,0,0,70,45,58,11,32,9,0,32
2008-12-01,0,0,0,7,0,0,6,0,56,35,0,0,18,0,0,20,67,0,0,0,0,0,78,63,45,11,16,0,0,20
2009-01-01,0,0,0,2,0,0,0,0,48,0,0,0,0,1,0,0,0,0,0,0,0,0,75,49,32,10,14,4,0,29
2009-02-01,0,0,0,0,0,0,12,0,56,22,12,0,17,0,4,0,0,0,0,0,0,0,72,54,13,4,0,9,0,31
2009-03-01,0,0,0,4,0,0,0,0,51,19,10,0,15,1,0,0,0,0,0,0,0,0,76,44,61,15,14,0,0,24
2009-04-01,0,0,0,8,13,0,6,0,43,40,11,0,16,0,0,0,59,0,0,0,0,0,67,56,52,11,14,0,0,21
2009-05-01,8,0,0,2,6,0,17,0,41,21,0,0,0,1,0,0,0,0,0,0,0,0,65,61,24,10,0,4,0,22
2009-06-01,0,0,0,12,19,100,6,0,50,10,22,0,16,1,0,0,0,0,0,0,0,0,66,56,52,14,14,4,0,29
2009-07-01,0,0,0,4,19,0,0,0,44,0,0,29,0,1,3,0,60,0,0,0,0,0,68,72,53,12,0,4,0,43
2009-08-01,0,0,0,11,0,0,5,0,79,49,0,0,31,0,0,17,0,0,0,0,0,0,70,69,35,13,14,0,0,38
2009-09-01,0,0,0,12,12,0,10,0,47,18,0,26,43,0,3,0,0,0,0,17,0,0,67,65,40,12,13,11,0,29
2009-10-01,0,0,0,11,0,0,0,0,66,25,9,0,0,1,3,15,49,0,0,0,0,0,63,59,33,13,24,10,0,30
2009-11-01,0,0,0,17,22,0,0,0,68,26,0,0,14,1,0,30,100,0,0,0,0,0,65,46,44,15,12,14,0,33
2009-12-01,0,0,0,12,6,0,0,0,52,0,19,0,14,1,0,0,0,0,0,0,100,0,66,76,43,9,13,4,0,35
2010-01-01,0,0,0,11,0,0,0,0,57,24,26,0,38,1,5,0,94,0,0,0,0,0,70,64,48,25,11,0,0,43
2010-02-01,0,0,0,12,38,0,14,0,38,26,0,24,27,1,14,0,50,0,0,16,0,0,61,66,40,5,12,3,0,39
2010-03-01,0,0,0,11,15,0,9,0,61,38,8,0,62,1,5,0,45,0,27,0,0,0,70,69,66,13,22,3,0,42
2010-04-01,7,0,0,15,10,0,0,0,32,24,36,0,13,1,3,0,96,0,0,0,0,0,66,61,83,25,12,3,0,21
2010-05-01,0,0,0,20,11,0,5,0,34,50,0,23,14,1,9,0,0,0,0,0,0,0,64,54,55,14,12,14,0,34
2010-06-01,0,0,0,10,11,0,5,0,66,17,10,24,14,1,6,0,0,0,0,0,0,0,74,53,60,25,12,0,0,32
2010-07-01,0,0,0,20,11,0,9,0,54,33,18,23,40,1,9,0,0,0,0,0,0,0,77,69,47,25,12,3,3,36
2010-08-01,0,0,0,11,31,0,4,0,54,0,26,22,13,1,6,28,0,0,0,0,0,0,81,61,52,14,11,3,3,41
2010-09-01,0,0,0,6,35,0,4,0,39,15,17,0,25,1,11,27,91,0,0,16,0,26,74,68,57,19,22,3,3,20
2010-10-01,0,0,0,7,19,0,20,0,54,50,40,20,47,2,10,13,86,0,0,0,0,25,79,68,33,14,21,0,0,34
2010-11-01,0,0,0,13,9,0,8,0,60,35,8,0,69,1,15,0,84,0,0,0,0,0,83,53,47,15,41,14,3,18
2010-12-01,0,0,0,13,10,0,8,0,52,7,25,41,49,1,11,26,0,0,26,0,0,0,84,60,55,21,11,3,0,35
2011-01-01,0,0,0,11,14,0,6,0,49,5,0,0,9,2,8,0,33,0,19,11,0,0,81,51,52,19,24,4,0,40
2011-02-01,0,0,0,10,12,0,10,0,53,12,13,33,10,2,6,10,35,0,21,0,0,0,82,46,56,19,43,2,5,43
2011-03-01,0,0,0,6,21,0,6,0,57,32,18,15,9,1,2,9,0,0,0,11,0,18,83,51,42,28,31,4,0,14
2011-04-01,0,0,0,2,18,0,28,0,51,56,12,16,27,2,14,20,33,0,0,0,0,19,86,49,30,22,24,5,2,29
2011-05-01,0,0,0,7,7,0,9,0,39,38,0,0,18,2,6,0,0,0,0,0,0,0,84,55,77,20,32,7,0,32
2011-06-01,0,0,0,8,15,0,16,74,48,17,26,0,28,2,2,0,34,0,20,12,0,0,78,50,52,26,8,5,0,34
2011-07-01,0,0,0,10,20,0,14,77,55,36,20,17,0,2,15,0,36,0,0,0,0,0,84,53,55,32,52,5,3,51
2011-08-01,0,0,0,8,11,0,3,0,65,39,31,0,18,3,10,0,0,0,0,0,0,19,85,55,72,30,48,2,2,25
2011-09-01,0,0,0,12,11,0,19,0,61,60,12,0,72,2,12,0,33,0,19,11,0,0,81,52,61,28,8,7,2,32
2011-10-01,4,0,0,8,17,0,9,0,65,25,6,0,41,3,16,0,0,0,0,0,0,0,83,66,65,25,15,4,4,22
2011-11-01,0,0,0,10,19,0,8,0,52,30,11,0,8,3,12,0,0,0,0,0,0,0,89,58,64,21,14,10,2,31
2011-12-01,4,0,0,19,20,0,11,0,53,25,22,42,41,2,11,0,30,0,18,0,60,0,92,65,40,19,15,6,4,46
2012-01-01,0,0,0,11,15,0,26,59,41,36,20,13,15,3,5,0,0,0,16,0,0,0,84,49,51,24,46,4,0,30
2012-02-01,0,0,0,17,6,0,11,0,68,53,11,27,40,4,5,0,0,0,51,0,0,0,86,54,61,25,14,2,0,27
2012-03-01,0,0,0,5,24,0,13,0,62,13,35,13,30,4,5,8,0,0,0,9,0,47,88,49,49,22,33,0,0,38
2012-04-01,0,0,0,10,19,0,11,0,52,38,0,0,8,4,5,0,28,0,0,10,0,0,91,53,59,18,7,8,2,35
2012-05-01,4,0,0,11,18,0,18,0,56,87,15,13,0,3,5,0,0,0,0,10,0,16,88,51,67,24,20,7,0,46
2012-06-01,0,0,0,11,9,0,8,0,46,29,37,13,16,4,16,9,0,0,0,0,0,0,89,57,76,22,21,6,0,23
2012-07-01,0,0,0,11,22,0,17,0,53,49,27,55,24,5,9,0,0,0,0,10,0,0,93,61,49,36,42,10,0,43
2012-08-01,4,0,0,10,25,0,3,0,55,52,26,13,8,3,14,8,28,0,0,20,0,0,93,56,66,37,34,6,0,49
2012-09-01,0,0,0,8,21,46,18,0,55,64,20,13,23,5,15,8,27,0,0,0,0,0,92,56,65,27,27,7,4,30
2012-10-01,0,0,0,16,13,0,12,0,58,57,23,0,13,5,15,0,0,0,43,17,49,0,82,57,34,23,47,7,0,47
2012-11-01,0,0,0,10,30,0,19,0,68,42,19,47,28,6,17,7,0,0,0,9,0,15,94,48,68,29,12,14,9,36
2012-12-01,0,0,0,15,14,0,5,0,67,47,24,0,35,5,11,8,0,0,15,0,0,15,90,58,70,24,12,5,4,45
2013-01-01,0,0,0,13,23,0,15,0,59,35,17,0,32,10,6,0,0,0,14,8,0,0,91,50,61,24,11,11,0,44
2013-02-01,0,0,0,13,36,0,38,0,60,46,23,35,14,6,15,7,50,0,0,9,0,0,89,50,61,29,24,5,2,43
2013-03-01,0,0,0,14,25,0,37,0,53,42,30,11,32,7,7,14,23,58,13,0,0,27,92,51,49,27,6,17,3,41
2013-04-01,3,0,0,11,20,0,28,0,47,92,25,0,25,7,7,7,0,0,0,8,0,0,88,46,78,30,55,9,3,41
2013-05-01,0,0,0,11,10,0,33,0,51,66,21,43,13,7,4,27,23,59,0,8,0,27,88,53,79,38,22,3,2,31
2013-06-01,0,0,0,11,21,0,36,0,50,84,22,34,20,7,15,0,0,0,14,8,0,28,84,54,80,35,17,13,0,35
2013-07-01,0,0,0,17,31,0,7,0,56,71,26,11,32,6,11,0,71,0,28,0,0,14,89,54,75,45,6,8,5,52
2013-08-01,0,0,0,11,10,0,20,50,59,63,35,55,32,7,8,7,23,0,14,0,0,14,90,68,96,46,62,5,3,42
2013-09-01,0,0,0,10,25,0,11,49,56,60,21,21,50,7,12,13,23,0,13,8,0,13,85,59,66,38,22,8,2,39
2013-10-01,0,0,0,11,28,0,14,0,55,39,16,0,23,9,12,0,21,0,0,15,0,12,83,59,63,40,31,7,6,46
2013-11-01,0,0,0,21,19,0,16,0,56,72,20,20,41,8,14,13,0,54,0,22,0,0,91,57,70,47,21,9,1,35
2013-12-01,0,0,0,24,27,0,19,49,63,68,29,43,44,14,22,7,0,0,0,8,45,13,97,60,69,39,27,17,5,49
2014-01-01,0,0,0,11,30,71,20,0,86,63,35,0,23,11,14,0,21,53,0,0,0,12,92,55,61,44,20,11,1,39
2014-02-01,3,0,0,9,31,0,24,50,58,43,13,0,45,11,10,0,70,0,14,8,0,0,90,53,65,43,6,8,0,40
2014-03-01,0,0,0,13,16,0,35,0,62,48,38,10,23,11,11,6,0,0,12,36,0,24,90,61,72,44,30,17,1,42
2014-04-01,0,0,0,17,24,0,30,0,58,61,44,10,30,11,12,13,22,55,0,7,0,50,93,58,72,61,21,10,0,38
2014-05-01,3,0,0,12,30,0,39,49,72,69,34,64,25,11,7,7,23,0,13,16,0,26,94,64,90,47,17,12,0,36
2014-06-01,7,0,0,17,23,0,24,0,50,43,24,36,35,11,3,8,0,0,0,18,0,15,90,53,100,48,31,19,0,43
2014-07-01,3,0,0,16,22,0,24,0,60,62,28,23,21,11,8,7,25,0,0,9,0,14,90,66,79,46,18,12,2,37
2014-08-01,0,0,0,12,42,0,24,0,48,64,38,48,14,12,9,0,0,0,15,18,51,15,93,59,85,40,6,9,0,31
2014-09-01,7,0,0,15,40,0,100,0,61,56,18,56,33,10,57,0,48,0,14,0,0,28,96,60,85,53,23,16,40,33
2014-10-01,3,0,0,11,87,0,34,0,68,60,38,53,37,13,42,7,23,0,13,8,0,13,91,52,59,41,16,6,28,62
2014-11-01,7,0,0,16,51,0,61,100,54,58,30,22,51,14,28,7,23,0,27,8,0,13,97,59,81,48,6,9,16,64
2014-12-01,10,0,0,20,71,0,15,0,69,70,30,44,58,12,27,0,23,0,0,0,0,0,100,63,53,36,11,11,8,60
2015-01-01,9,0,0,9,54,0,34,0,57,68,20,10,35,14,23,6,64,0,13,7,0,12,91,55,51,41,16,10,9,48
2015-02-01,7,0,0,11,24,0,41,0,63,76,31,34,26,13,16,0,24,61,28,17,0,28,89,58,84,50,12,6,5,54
2015-03-01,21,0,0,13,43,0,39,0,67,51,37,41,12,14,22,6,0,0,38,0,0,63,90,54,82,47,16,16,9,42
2015-04-01,18,0,0,13,29,0,46,0,58,84,33,10,18,19,19,0,0,0,13,23,0,13,90,58,76,58,16,16,6,49
2015-05-01,6,0,0,14,49,0,6,0,60,53,25,42,12,27,8,7,45,0,0,0,0,39,89,59,66,49,22,17,3,54
2015-06-01,13,0,0,15,32,0,38,0,56,56,29,42,62,17,18,13,0,0,0,0,45,13,85,62,61,53,22,8,11,44
2015-07-01,34,0,0,13,39,0,35,0,54,52,41,31,36,19,28,7,0,0,13,8,0,38,88,70,87,52,11,15,12,46
2015-08-01,31,0,0,20,37,0,27,0,59,45,21,21,24,17,29,13,22,56,13,0,0,51,92,68,62,56,5,15,11,40
2015-09-01,21,0,0,9,28,0,30,0,60,47,32,30,83,20,36,0,64,0,25,15,0,37,88,59,79,67,16,22,15,44
2015-10-01,31,0,0,21,27,0,21,0,46,51,30,57,22,22,28,12,20,0,12,21,0,0,82,62,68,58,20,19,18,56
2015-11-01,36,0,0,14,42,0,42,0,57,39,8,59,29,24,33,13,21,0,25,44,0,12,84,53,61,49,20,19,25,53
2015-12-01,43,0,0,17,50,0,31,0,46,40,33,21,54,21,29,6,0,0,13,23,0,38,87,64,68,57,16,18,20,54
2016-01-01,27,0,0,17,26,0,8,0,67,61,32,10,35,25,21,13,0,0,0,0,0,12,69,59,49,52,16,10,16,59
2016-02-01,50,0,0,7,37,0,17,0,50,45,41,73,12,26,32,0,45,0,13,31,45,26,76,59,60,49,11,18,14,53
2016-03-01,43,0,0,9,27,0,29,0,60,62,23,19,40,25,22,6,21,52,24,29,0,12,72,55,59,52,10,17,13,37
2016-04-01,54,0,23,19,33,0,14,0,44,72,24,60,24,27,31,6,0,0,0,7,0,25,72,57,56,49,21,13,18,53
2016-05-01,22,3,0,12,44,37,6,0,56,36,29,62,48,29,100,20,49,0,13,28,0,13,69,60,60,54,49,18,88,40
2016-06-01,51,0,0,35,60,0,19,0,46,30,47,42,37,29,96,20,0,0,0,29,43,13,67,64,67,49,11,16,100,69
2016-07-01,40,0,0,16,34,0,18,0,39,71,36,33,19,25,75,7,26,0,0,15,0,28,69,64,52,45,12,13,43,56
2016-08-01,47,0,0,19,50,40,9,51,47,63,54,55,26,28,42,7,53,0,28,15,0,42,71,67,48,47,23,16,40,74
2016-09-01,26,0,0,21,35,0,34,0,41,38,22,32,56,27,91,0,0,0,27,29,0,27,68,66,55,57,28,24,77,66
2016-10-01,19,0,0,16,31,0,27,0,37,47,37,20,36,32,67,6,0,56,13,42,0,0,69,62,49,45,16,20,51,61
2016-11-01,69,0,0,15,54,36,20,45,50,63,28,30,64,33,50,25,47,54,100,14,0,25,73,56,37,45,10,15,45,52
2016-12-01,82,3,0,26,40,0,24,0,49,39,37,60,53,38,53,13,48,0,51,0,0,13,82,77,56,56,27,25,39,47
2017-01-01,62,2,0,24,57,0,30,0,45,49,8,9,43,37,48,0,44,51,12,19,0,35,78,59,43,49,29,18,38,62
2017-02-01,42,3,0,14,24,0,14,0,45,42,24,20,29,44,41,0,0,0,0,34,41,37,76,62,47,62,16,13,29,44
2017-03-01,56,2,0,23,37,0,28,0,39,63,25,18,51,39,38,17,0,0,56,67,0,0,80,66,50,62,9,17,28,46
2017-04-01,40,2,0,17,38,0,34,0,39,47,38,56,55,39,50,6,22,0,24,51,0,58,72,62,49,66,10,8,42,55
2017-05-01,55,2,0,19,41,0,21,0,54,48,23,29,34,41,47,18,23,0,12,53,0,24,71,73,53,73,15,11,39,54
2017-06-01,61,5,24,25,52,0,32,46,48,46,29,10,70,46,59,0,0,0,25,28,0,0,69,77,59,68,27,22,44,47
2017-07-01,87,0,0,22,46,0,25,0,46,44,17,51,30,42,54,13,24,56,13,28,42,26,71,77,71,57,11,14,42,55
2017-08-01,92,0,0,33,60,0,32,0,38,52,20,39,40,42,68,6,0,0,49,13,0,37,72,82,63,66,21,12,49,61
2017-09-01,100,0,23,20,46,35,25,0,41,100,39,10,40,42,58,6,0,0,37,20,0,36,68,79,67,67,26,4,50,60
2017-10-01,79,2,0,34,47,0,29,0,56,55,26,27,21,53,70,11,21,0,34,25,37,23,67,67,49,65,10,15,46,54
2017-11-01,43,5,0,40,49,0,29,0,58,54,36,54,78,52,64,11,0,0,45,37,36,56,72,65,61,52,5,8,65,84
2017-12-01,67,7,0,38,48,0,28,43,41,56,45,37,92,36,89,12,66,0,12,19,38,0,73,80,43,66,0,21,80,70
2018-01-01,70,2,0,39,36,0,28,39,44,30,28,51,45,45,64,5,41,0,11,47,0,75,67,70,66,61,45,24,55,63
2018-02-01,29,0,0,31,49,0,42,44,50,37,35,29,33,53,43,0,0,0,24,26,77,36,66,77,64,74,0,49,30,57
2018-03-01,56,4,0,39,72,0,41,0,43,37,32,70,46,51,71,11,21,0,22,18,0,44,66,84,49,68,18,53,58,78
2018-04-01,66,2,41,36,35,0,21,0,49,46,42,44,36,52,62,11,21,0,11,42,0,0,64,72,69,59,28,50,45,58
2018-05-01,46,2,0,34,57,32,23,0,48,63,47,9,42,58,64,6,63,0,34,24,0,22,64,83,54,56,19,58,44,63
2018-06-01,53,5,65,30,26,0,24,0,40,49,82,64,32,50,50,0,43,0,12,31,0,23,65,85,45,75,15,75,43,63
2018-07-01,58,2,22,41,43,0,37,84,32,42,30,37,69,46,38,6,0,100,23,19,0,23,64,86,69,71,29,61,33,51
2018-08-01,72,7,0,46,39,0,35,0,42,42,48,27,26,49,61,17,65,0,11,37,0,34,65,89,70,71,29,57,51,72
2018-09-01,69,7,21,36,37,0,20,0,35,19,22,55,53,46,57,0,22,0,11,37,0,45,63,77,56,82,24,70,45,82
2018-10-01,64,2,21,45,64,0,28,0,38,38,29,35,41,48,49,6,0,0,22,18,0,22,61,77,49,71,14,68,42,66
2018-11-01,48,13,42,50,57,0,43,0,39,38,43,53,57,49,54,0,21,0,45,6,0,22,68,76,41,63,5,67,35,67
2018-12-01,71,5,0,43,37,0,19,0,41,56,53,75,54,38,62,18,22,0,0,26,0,47,64,100,42,56,10,91,53,62
2019-01-01,70,9,0,47,34,0,33,0,35,33,38,34,45,40,58,5,0,0,22,35,0,21,61,69,46,60,18,68,36,60
2019-02-01,48,5,22,49,48,0,22,0,36,49,26,74,32,42,47,6,44,0,0,70,0,23,63,71,47,61,15,52,38,48
2019-03-01,65,9,41,53,75,62,19,0,37,27,28,26,35,44,67,5,0,0,0,30,0,75,61,80,39,80,5,66,41,75
2019-04-01,86,11,0,45,48,0,25,0,28,41,54,9,15,46,51,0,21,0,33,49,0,11,62,83,64,69,28,73,36,45
2019-05-01,62,6,20,45,59,0,29,0,22,21,42,17,40,46,59,11,0,0,11,41,0,32,64,88,50,65,9,82,44,58
2019-06-01,72,20,0,49,50,0,32,0,37,35,32,44,31,48,78,0,21,0,11,61,36,22,65,84,39,77,23,73,56,43
2019-07-01,51,11,21,68,36,0,32,0,35,60,36,53,41,48,77,11,0,0,11,30,0,33,64,90,43,70,14,88,59,64
2019-08-01,64,7,41,47,66,0,21,0,35,28,46,35,31,48,65,17,0,0,0,30,0,11,66,91,52,79,14,79,57,54
2019-09-01,61,25,20,56,51,0,27,0,32,42,27,59,39,51,87,5,20,0,0,52,0,42,66,84,62,83,44,72,65,47
2019-10-01,62,20,0,46,47,28,24,0,28,28,42,8,32,46,64,15,19,0,10,76,0,20,65,82,58,76,17,80,55,63
2019-11-01,86,24,19,52,60,29,35,0,27,39,64,47,69,49,73,5,19,0,10,38,32,20,65,75,35,75,13,76,54,48
2019-12-01,68,21,20,60,49,0,30,0,26,24,30,58,83,44,73,5,40,0,21,34,0,10,68,87,49,82,18,100,59,65
2020-01-01,66,17,0,66,51,28,12,0,29,25,41,31,36,48,66,15,18,0,19,42,0,10,65,72,52,80,12,74,56,52
2020-02-01,76,16,0,54,38,29,23,0,32,40,53,41,9,48,56,10,19,0,10,50,0,10,67,74,48,69,13,87,44,66
2020-03-01,42,24,0,63,51,25,22,0,27,39,20,49,40,48,63,4,16,0,18,100,28,78,61,77,61,77,26,61,45,62
2020-04-01,52,50,31,85,72,0,27,0,40,31,100,100,74,71,64,21,47,0,76,37,0,17,92,86,80,100,25,78,52,48
2020-05-01,45,62,47,66,49,0,36,0,39,43,62,80,82,100,70,8,63,36,42,50,0,100,86,92,38,77,39,73,53,59
2020-06-01,43,41,34,71,45,26,13,33,49,25,37,43,75,77,78,18,51,0,27,29,29,89,76,88,45,76,34,64,62,51
2020-07-01,41,42,36,66,52,27,30,0,44,29,18,68,40,75,82,5,71,0,29,26,0,9,74,89,47,76,24,77,59,55
2020-08-01,50,34,18,55,57,27,18,35,37,48,40,53,79,66,72,5,36,0,10,31,0,47,70,82,35,64,20,59,63,45
2020-09-01,55,45,0,59,55,0,29,0,33,45,30,30,44,63,78,5,18,0,28,26,0,19,63,77,51,68,24,70,54,48
2020-10-01,86,44,0,60,41,0,29,73,30,28,42,40,46,52,78,0,94,0,10,27,0,20,66,75,32,71,17,69,54,52
2020-11-01,41,74,37,72,54,0,27,0,41,8,29,48,93,53,72,5,19,0,40,16,32,20,66,75,25,62,25,69,44,52
