date,569,23,47,815,170,249,71,276,634,250,168,437,11,29,96,18,67,179,5,68,78,696,329,95,423,279,1160,813,466,468,46,750,747,121,123,697,1176,1268,288,248,30,287,612,13,31,7,38,969,477,25,380,1010,726,76,74,256,508,20,1199,144,748,48,255,50,664,60,802,621,1140,841,289,665,662,354,666,1150,277,650,651,652,158,1143,70,271,270,794,233,473,1339,932,882,94,293,205,208,1081,73,1188,185,610,206,1003,918,355,145,894,960,961,378,465,1164,784,1209,396,408,832,952,1139,107,903,343,77,278,1300,730,341,334,314,718,728,1162,53,342,1159,1214,670,12,566,672,673,49
2004-01-01,74,90,91,94,89,86,76,57,60,90,89,89,73,83,86,86,98,86,100,84,86,29,95,96,88,84,94,94,84,82,93,91,93,33,100,57,97,16,90,93,100,98,92,84,94,95,91,97,88,100,73,82,34,98,100,87,99,75,78,100,78,79,76,85,97,98,84,100,58,49,79,91,78,93,42,58,72,79,84,93,68,83,61,72,90,49,83,77,70,24,90,90,100,67,90,87,48,77,98,95,89,57,33,95,86,90,78,96,76,88,99,57,42,18,94,85,34,95,61,93,94,93,55,100,98,85,92,77,64,87,22,100,90,95,77,68,100,88,74,91,88
2004-02-01,70,85,89,93,88,87,72,58,52,98,73,96,71,85,91,82,91,88,97,78,75,33,93,97,86,82,81,90,88,85,91,98,96,32,81,48,100,15,94,94,96,100,91,83,100,95,92,97,85,93,60,68,34,92,88,84,100,74,91,88,77,81,84,82,87,100,100,87,57,48,89,86,69,92,41,53,69,76,100,85,67,71,73,64,84,57,86,74,76,19,82,78,84,65,84,87,42,85,89,92,75,53,36,84,100,91,86,100,73,97,86,53,44,18,95,91,35,94,62,97,99,100,70,93,100,100,79,76,72,95,21,96,100,95,91,77,99,96,79,82,100
2004-03-01,74,82,94,98,87,89,73,61,53,100,78,92,76,87,95,81,87,75,92,82,73,34,82,78,96,83,100,71,100,78,100,100,98,29,91,54,100,23,97,96,92,96,77,84,90,97,93,96,88,97,62,58,34,91,84,90,94,76,100,96,84,83,86,76,77,88,89,87,68,44,93,84,70,92,40,49,70,80,93,83,71,76,62,64,88,55,89,83,46,20,80,77,79,71,79,80,45,92,100,100,70,54,41,91,89,86,82,85,86,86,91,51,56,18,98,99,42,86,53,83,100,94,88,72,91,83,100,78,71,100,20,99,98,99,94,100,95,100,82,100,97
2004-04-01,72,82,93,96,89,83,70,55,54,94,73,89,80,83,89,81,85,77,90,81,71,25,83,74,88,82,99,79,96,90,95,99,97,31,87,58,95,21,91,88,87,94,58,86,86,95,94,86,83,85,66,54,31,100,83,85,85,83,87,95,90,82,76,85,83,100,91,82,72,47,93,90,64,95,37,48,69,79,93,87,72,70,65,60,79,52,87,85,50,21,81,70,81,78,78,72,46,83,93,96,66,53,39,81,85,90,82,90,82,76,80,49,47,16,97,96,44,96,50,70,91,91,82,77,78,78,77,81,57,88,22,89,92,89,98,96,94,87,77,81,89
2004-05-01,74,81,94,96,97,92,66,53,49,94,65,81,81,81,100,80,85,79,87,78,70,25,81,78,85,75,72,78,80,74,94,94,99,29,84,58,84,42,82,82,81,90,54,81,84,83,93,89,72,81,60,49,32,88,76,79,84,74,66,100,93,89,69,85,78,97,96,81,74,48,89,97,70,78,37,46,66,80,83,100,77,70,74,63,74,54,80,84,58,21,78,69,89,81,84,79,45,84,85,92,75,59,34,79,88,88,77,84,75,74,82,43,46,19,92,92,53,77,45,67,85,86,44,68,79,74,61,100,52,91,20,89,90,84,90,86,88,93,76,64,80
2004-06-01,82,71,90,89,100,84,64,54,57,89,68,69,80,82,95,79,87,86,86,75,71,31,84,81,60,78,57,80,81,94,84,76,83,24,68,52,86,21,83,81,83,87,54,85,83,84,90,93,62,80,61,50,34,90,78,78,87,82,65,93,90,85,65,87,78,93,85,64,85,47,87,100,65,88,32,49,69,78,70,95,76,72,65,60,74,54,76,73,81,21,75,69,88,93,87,88,46,79,81,84,74,52,36,78,89,65,77,80,80,81,66,46,44,47,89,91,61,91,43,75,89,87,43,63,74,78,58,86,68,86,21,96,77,83,89,81,86,80,86,70,80
2004-07-01,94,66,90,92,94,86,65,53,57,89,66,67,79,85,92,78,100,100,87,74,73,27,73,75,88,79,64,88,78,94,78,63,67,29,63,51,82,17,74,80,82,86,57,84,83,81,86,91,63,74,47,54,32,75,67,77,82,72,67,97,83,73,63,84,81,83,74,69,100,46,84,99,66,85,31,48,70,75,62,80,76,74,54,65,79,52,66,75,73,18,79,71,92,100,100,93,47,78,87,90,100,61,32,78,90,53,68,67,82,76,57,42,39,14,85,92,60,91,42,67,93,86,37,50,77,73,59,86,58,79,19,89,87,77,80,71,81,74,80,59,74
2004-08-01,82,69,93,95,88,96,69,54,55,91,66,70,79,88,91,81,96,99,91,81,75,26,82,87,73,80,84,96,82,96,79,55,78,29,66,64,87,17,77,81,91,89,55,89,79,84,92,84,59,71,60,59,33,74,78,77,80,91,73,91,89,83,65,90,88,89,91,93,98,50,100,87,67,84,31,49,67,76,58,89,79,77,53,64,86,57,67,78,48,19,85,72,93,94,94,90,53,86,90,94,91,66,34,92,92,50,77,70,86,76,55,41,40,13,87,95,45,95,42,64,89,83,37,80,77,63,88,87,52,79,18,90,86,78,100,59,82,79,100,63,72
2004-09-01,70,75,88,93,91,90,69,50,59,85,71,79,74,76,89,81,85,85,93,82,77,30,94,93,92,77,78,100,77,97,82,75,75,29,72,59,93,16,84,87,94,90,53,90,86,84,89,100,70,80,61,53,33,80,92,77,95,75,80,86,76,85,71,86,92,90,80,99,65,51,89,91,64,85,30,49,66,75,81,98,79,76,54,64,81,57,72,70,54,21,81,67,80,73,73,64,48,86,84,86,85,80,33,100,82,67,80,87,77,81,64,44,51,15,92,93,38,87,44,78,89,84,38,80,74,69,90,86,63,85,21,85,85,83,82,74,86,80,70,76,83
