date,841,47,1190,1191,1140,1213,1013,1214,806,810,1317,273,148,1147,1212,610,815,1294,170,138,89,473,803,121,276,650,73,355,1146,18,1225,270,659,1268,38,844,614
2006-11-01,62,72,68,42,38,40,55,75,69,62,36,47,66,69,41,83,78,77,77,65,89,75,22,32,77,77,85,68,73,90,73,100,76,14,89,65,92
2006-12-01,76,66,46,39,37,37,54,70,70,60,40,49,75,68,40,74,69,73,72,54,78,67,18,32,81,63,100,81,87,98,71,89,63,13,77,56,81
2007-01-01,59,75,70,40,45,52,54,80,67,67,33,55,73,71,37,80,74,73,78,61,76,80,60,32,81,75,63,71,63,81,55,94,75,15,95,65,80
2007-02-01,51,75,71,46,49,59,49,82,68,76,42,60,79,74,41,80,77,74,78,61,73,83,48,32,81,79,51,58,50,79,53,89,75,18,91,61,91
2007-03-01,60,81,54,57,49,68,53,94,73,75,44,74,71,72,45,86,83,76,85,64,83,91,49,32,79,79,60,61,54,78,57,87,70,20,99,61,97
2007-04-01,57,87,57,75,56,81,57,96,69,78,38,84,54,71,58,84,84,83,83,68,92,93,33,32,79,80,63,56,51,77,60,88,68,17,100,58,86
2007-05-01,57,78,50,79,59,79,54,86,65,75,37,82,45,66,61,75,77,79,82,68,81,87,18,30,72,81,59,54,43,69,56,76,65,24,94,58,75
2007-06-01,57,74,48,75,64,79,49,81,62,70,37,78,40,64,59,75,75,80,84,63,79,81,20,28,74,81,60,49,46,71,55,74,64,16,88,50,72
2007-07-01,59,77,49,74,80,96,45,81,58,64,37,77,44,67,58,79,78,78,78,61,79,83,21,30,73,75,67,58,52,72,59,80,58,15,90,50,80
2007-08-01,62,74,43,64,66,91,45,85,61,53,33,73,48,64,51,83,77,72,84,63,79,83,27,29,70,74,68,59,53,77,63,82,59,13,91,51,76
2007-09-01,61,71,67,51,49,72,46,75,66,54,31,63,53,69,45,80,72,70,76,58,76,78,30,29,65,74,63,73,53,75,59,82,60,13,87,52,83
2007-10-01,59,68,57,43,39,56,47,75,58,61,32,55,56,67,38,79,71,77,69,61,85,76,28,29,65,74,67,55,55,76,59,84,67,13,87,55,82
