date,Economic crisis,Crisis,Recession,Financial crisis,Krach,Unemployment,Unemployment benefits,Student loan,Loan,Interest,Mortgage,Auto Financing,Birthday,Temporary jobs,Affordable housing,Lawyer,public debt,office space,Housing bubble,Bankruptcy,Exportation,Commercial Building,Foreclosure
2008-10-01,100,100,42,77,54,19,25,45,48,59,40,47,59,21,77,40,37,53,27,40,19,40,71
2008-11-01,47,64,43,79,49,27,21,43,49,42,31,49,29,30,23,40,53,49,28,48,36,47,55
2008-12-01,75,60,15,20,14,28,25,51,46,44,31,77,11,39,35,36,46,48,13,49,30,24,48
2009-01-01,43,34,79,18,51,36,29,44,50,50,43,34,43,35,10,36,48,56,18,56,31,41,76
2009-02-01,38,36,42,19,20,36,32,54,55,55,44,47,49,29,11,39,37,56,19,56,29,33,87
2009-03-01,33,46,25,0,18,34,27,51,60,57,58,46,62,26,19,39,52,47,17,59,29,40,100
2009-04-01,54,48,13,53,12,36,16,31,60,53,55,24,42,27,61,44,20,48,12,68,41,26,83
2009-05-01,20,31,13,54,13,35,24,45,56,40,53,39,59,27,21,44,62,47,6,69,37,36,68
2009-06-01,20,29,52,18,6,39,38,68,64,47,52,59,49,19,41,48,34,45,9,73,25,33,64
2009-07-01,24,27,13,18,0,43,39,95,77,48,46,44,56,31,21,50,34,51,14,65,13,30,67
2009-08-01,7,5,37,0,0,50,39,77,72,42,42,42,44,18,10,42,39,49,11,59,8,42,65
2009-09-01,7,13,12,0,6,52,53,63,63,39,41,13,53,21,74,45,31,59,9,63,27,49,62
2009-10-01,6,14,32,0,16,57,65,42,58,43,38,52,40,41,34,44,34,48,15,53,24,40,68
2009-11-01,26,22,22,45,5,57,50,39,50,41,34,37,49,13,43,44,58,54,16,61,18,52,72
2009-12-01,7,17,35,48,17,55,49,41,51,38,31,30,23,31,46,39,18,41,21,51,19,35,63
2010-01-01,12,15,21,14,10,61,58,52,62,46,40,47,57,43,33,47,49,57,20,63,23,48,80
2010-02-01,7,14,33,0,11,54,60,46,61,46,42,49,30,32,26,46,91,56,39,62,35,51,72
2010-03-01,15,15,27,14,46,64,71,47,65,52,49,41,72,41,39,47,79,63,36,63,26,58,85
2010-04-01,13,19,57,29,16,56,70,49,64,53,50,40,39,40,16,46,100,56,49,62,31,43,73
2010-05-01,16,16,50,15,17,54,45,52,60,39,39,37,63,48,17,52,86,50,30,52,25,51,70
2010-06-01,3,15,20,16,6,69,64,57,66,41,37,38,42,39,35,54,30,48,20,64,16,44,75
2010-07-01,22,18,10,0,0,100,100,76,72,38,37,48,51,37,25,48,56,56,25,53,11,27,63
2010-08-01,3,6,19,14,11,61,50,78,70,42,41,35,65,48,16,48,27,47,35,51,16,54,75
2010-09-01,3,11,0,0,0,47,38,64,63,45,39,45,40,32,39,44,26,48,39,51,14,40,65
2010-10-01,11,12,9,0,5,47,35,43,60,42,37,36,43,33,22,46,65,54,18,49,22,38,87
2010-11-01,3,9,17,13,5,47,40,37,55,37,33,42,60,38,22,42,59,54,14,54,23,57,61
2010-12-01,12,20,26,40,15,62,57,52,52,36,27,62,15,31,38,40,46,41,17,45,13,33,61
2011-01-01,0,12,13,10,22,21,13,43,44,41,36,35,54,34,28,43,76,52,19,38,21,31,53
2011-02-01,12,13,42,0,36,15,8,31,42,43,36,32,47,18,30,50,49,50,26,41,21,28,49
2011-03-01,4,13,32,0,14,14,6,37,44,42,34,58,36,34,22,51,62,50,38,42,30,38,43
2011-04-01,7,9,27,0,30,14,7,36,45,38,34,30,53,24,11,51,46,49,31,38,25,54,46
2011-05-01,2,5,20,0,4,14,8,39,43,33,34,35,63,29,11,52,49,44,23,36,17,37,41
2011-06-01,9,14,34,0,12,15,7,56,48,35,32,23,49,46,35,53,60,45,33,38,15,36,43
2011-07-01,14,16,7,22,4,18,12,63,47,33,34,51,53,32,31,59,87,46,38,42,12,37,44
2011-08-01,13,20,13,10,19,15,9,63,48,36,36,44,51,28,23,56,73,42,27,35,13,33,49
2011-09-01,9,16,20,0,0,17,9,57,46,36,34,38,38,31,28,54,68,48,23,40,15,45,41
2011-10-01,8,22,36,9,17,16,5,35,40,37,33,18,43,27,21,51,70,45,21,37,24,39,41
2011-11-01,23,31,47,9,10,19,11,33,40,37,29,29,41,23,35,50,65,45,32,39,29,46,32
2011-12-01,12,24,30,9,10,17,7,35,37,30,25,25,25,23,36,44,14,41,25,32,12,34,36
2012-01-01,9,16,49,0,6,18,8,46,43,44,39,57,48,30,28,48,35,46,33,45,18,40,48
2012-02-01,10,21,17,9,13,16,4,36,42,41,38,56,61,20,10,53,40,53,42,41,21,40,46
2012-03-01,11,17,70,8,12,14,7,34,44,43,41,25,53,28,46,53,50,48,46,44,21,45,37
2012-04-01,6,20,45,26,10,16,6,39,49,40,39,33,59,34,29,55,26,58,60,37,23,42,34
2012-05-01,13,19,16,33,12,14,7,48,44,38,38,59,54,40,33,58,38,48,61,38,23,43,29
2012-06-01,2,13,23,9,16,12,5,47,48,36,40,60,68,33,15,58,53,51,47,35,15,51,34
2012-07-01,4,11,12,0,7,16,9,56,51,37,38,51,45,43,45,58,34,49,57,36,14,46,30
2012-08-01,9,17,6,17,3,14,4,66,51,31,35,42,48,34,29,57,46,43,30,33,10,44,36
2012-09-01,4,8,27,8,15,14,6,60,50,34,33,39,53,33,33,50,41,53,38,33,16,32,32
2012-10-01,10,20,29,15,11,14,6,39,44,38,32,51,46,28,34,56,65,51,37,34,15,53,26
2012-11-01,13,21,15,8,29,15,5,34,43,35,29,25,43,36,43,53,64,46,30,31,21,43,28
2012-12-01,5,8,35,0,17,13,9,27,36,30,24,23,36,21,17,44,38,32,34,28,20,36,26
2013-01-01,5,7,18,0,10,16,11,79,53,37,35,33,43,25,16,55,43,46,36,37,19,50,36
2013-02-01,3,6,30,8,11,13,7,48,48,39,35,35,36,30,34,52,52,48,26,33,17,44,33
2013-03-01,11,17,60,21,13,12,7,35,49,44,40,71,55,34,20,53,56,45,33,33,19,54,29
2013-04-01,3,10,41,7,15,13,10,43,52,43,39,45,51,58,12,61,66,52,21,27,21,53,31
2013-05-01,12,14,32,21,16,12,8,38,50,43,37,52,50,46,16,61,38,47,26,23,20,41,29
2013-06-01,2,7,24,7,11,12,6,44,50,41,36,42,61,42,25,62,36,49,25,25,12,43,30
2013-07-01,3,11,5,7,3,12,7,48,52,40,36,47,70,41,16,62,30,50,17,42,11,37,36
2013-08-01,9,11,14,0,11,10,8,57,53,38,36,53,44,29,8,58,33,46,20,22,12,40,32
2013-09-01,1,5,23,14,3,11,10,53,48,40,33,45,47,38,23,59,34,47,25,21,12,44,27
2013-10-01,1,6,25,6,10,12,8,36,46,37,30,55,61,24,18,61,39,47,15,23,14,42,27
